sg_uf;dias_paciente;qt_internacoes;populacao;qt_leitos;qt_estabelecimentos;qt_caps;taxa_ocupacao_pct;leitos_por_10k_hab;caps_por_100k_hab;habitantes_por_caps
MS;86714;4868;2757013;122;133;37;97.3;0.44;1.34;74514.0
PI;119446;6835;3271199;173;161;44;94.5;0.53;1.35;74345.0
MA;288124;16143;6775805;481;332;91;82.0;0.71;1.34;74459.0
CE;332226;18580;8794957;584;428;117;77.9;0.66;1.33;75171.0
PB;176312;10001;3974687;316;194;53;76.4;0.8;1.33;74994.0
BA;582448;32853;14141626;1044;691;189;76.4;0.74;1.34;74823.0
GO;260782;14635;7056495;467;347;94;76.4;0.66;1.33;75069.0
MT;141292;7986;3658649;253;179;49;76.4;0.69;1.34;74666.0
TO;65043;3674;1511460;119;74;20;74.8;0.79;1.32;75573.0
PR;468746;26532;11444380;867;559;152;74.0;0.76;1.33;75292.0
SP;1818850;102172;44411238;3427;2169;592;72.6;0.77;1.33;75019.0
DF;85433;4847;2817381;164;136;37;71.3;0.58;1.31;76145.0
RN;144949;8164;3302406;282;162;44;70.4;0.85;1.33;75055.0
MG;846522;47640;20538718;1715;1005;274;67.6;0.84;1.33;74959.0
PA;349710;19630;8120131;734;396;108;65.2;0.9;1.33;75186.0
AP;35740;2076;733759;76;37;10;64.4;1.04;1.36;73376.0
AL;107091;5984;3127683;231;154;42;63.5;0.74;1.34;74469.0
AC;38465;2151;830018;84;43;11;62.7;1.01;1.33;75456.0
RR;27745;1590;636707;63;31;9;60.3;0.99;1.41;70745.0
PE;350229;19726;9058931;839;444;121;57.1;0.93;1.34;74867.0
RS;346499;19737;10882965;834;531;145;56.9;0.77;1.33;75055.0
SC;264062;14835;7610361;639;372;101;56.6;0.84;1.33;75350.0
AM;135680;7652;3941613;329;193;52;56.5;0.83;1.32;75800.0
RO;36126;1993;1581196;91;78;21;54.3;0.58;1.33;75295.0
RJ;518347;29228;16055174;1321;784;214;53.7;0.82;1.33;75024.0
ES;103429;5837;3833712;309;188;51;45.8;0.81;1.33;75171.0
SE;49227;2812;2210004;168;107;29;40.1;0.76;1.31;76207.0
