cid_grupo;descricao;descricao_curta;grupo_cid;qt_internacoes;permanencia_media;permanencia_total;custo_total;idade_media;obitos;pct_internacoes;pct_dias_leito;indice_carga_leito
F20;Esquizofrenia;Esquizofrenia;F20-F29;83158;28.0;2329122;182261028.8;38.6;957;18.98;29.94;1.58
F10;Transtornos mentais e comportamentais devidos ao uso de álcool;Uso de álcool;F10-F19;79127;14.0;1109612;86586649.83;38.6;924;18.06;14.26;0.79
F31;Transtorno afetivo bipolar;Transtorno bipolar;F30-F39;46118;21.0;966849;75517221.95;38.6;522;10.52;12.43;1.18
F19;Transtornos mentais devidos ao uso de múltiplas drogas;Múltiplas drogas;F10-F19;31135;16.0;499618;39413487.25;38.5;358;7.11;6.42;0.9
F32;Episódios depressivos;Episódio depressivo;F30-F39;30402;12.0;365436;28366771.78;38.6;346;6.94;4.7;0.68
F33;Transtorno depressivo recorrente;Depressão recorrente;F30-F39;19598;14.1;275760;21439480.9;38.6;225;4.47;3.54;0.79
F29;Psicose não orgânica não especificada;Psicose não especificada;F20-F29;16471;19.9;327659;25331211.0;38.7;150;3.76;4.21;1.12
F14;Transtornos mentais e comportamentais devidos ao uso de cocaína;Uso de cocaína;F10-F19;15653;12.9;202258;15777186.34;38.7;171;3.57;2.6;0.73
F23;Transtornos psicóticos agudos e transitórios;Psicose aguda;F20-F29;13194;18.0;236880;18628964.32;38.4;144;3.01;3.05;1.01
F25;Transtornos esquizoafetivos;Esquizoafetivo;F20-F29;11399;23.9;271951;21313123.09;38.7;125;2.6;3.5;1.35
F41;Outros transtornos ansiosos;Transtorno de ansiedade;F40-F48;8847;7.0;61705;4875472.85;38.9;109;2.02;0.79;0.39
F43;Reações ao estresse grave e transtornos de adaptação;Estresse e adaptação;F40-F48;7013;6.0;42005;3295652.03;38.6;83;1.6;0.54;0.34
F60;Transtornos específicos da personalidade;Transtorno de personalidade;F60-F69;6607;10.9;71893;5624666.1;38.8;67;1.51;0.92;0.61
F30;Episódio maníaco;Episódio maníaco;F30-F39;6116;22.2;135939;10727631.76;38.7;79;1.4;1.75;1.25
