sg_uf;nm_uf;regiao;qt_internacoes;populacao;permanencia_media;custo_total;obitos;internacoes_por_10k_ano;custo_per_capita;taxa_mortalidade_pct;taxa_ocupacao_pct;leitos_por_10k_hab;qt_leitos;qt_caps;caps_por_100k_hab;n_demanda;n_complexidade;n_escassez;indice_pressao;classificacao;ranking
AC;Acre;Norte;2151;830018;17.9;3047464.05;27;12.96;3.67;1.26;62.7;1.01;84;11;1.33;84.8;77.8;5.0;66.8;Alta;1
MA;Maranhão;Nordeste;16143;6775805;17.8;22523642.29;187;11.91;3.32;1.16;82.0;0.71;481;91;1.34;71.5;66.7;55.0;66.7;Alta;2
RN;Rio Grande do Norte;Nordeste;8164;3302406;17.8;11352909.15;103;12.36;3.44;1.26;70.4;0.85;282;44;1.33;77.2;66.7;31.7;64.9;Alta;3
CE;Ceará;Nordeste;18580;8794957;17.9;26319815.83;203;10.56;2.99;1.09;77.9;0.66;584;117;1.33;54.3;77.8;63.3;63.1;Alta;4
TO;Tocantins;Norte;3674;1511460;17.7;4968454.23;41;12.15;3.29;1.12;74.8;0.79;119;20;1.32;74.5;55.6;41.7;62.3;Alta;5
SP;São Paulo;Sudeste;102172;44411238;17.8;142129910.62;1150;11.5;3.2;1.13;72.6;0.77;3427;592;1.33;66.2;66.7;45.0;62.1;Alta;6
PA;Pará;Norte;19630;8120131;17.8;27322519.9;226;12.09;3.36;1.15;65.2;0.9;734;108;1.33;73.8;66.7;23.3;61.5;Alta;7
PB;Paraíba;Nordeste;10001;3974687;17.6;13752476.73;124;12.58;3.46;1.24;76.4;0.8;316;53;1.33;80.0;44.4;40.0;61.3;Alta;8
BA;Bahia;Nordeste;32853;14141626;17.7;45537321.43;362;11.62;3.22;1.1;76.4;0.74;1044;189;1.34;67.8;55.6;50.0;60.6;Alta;9
MG;Minas Gerais;Sudeste;47640;20538718;17.8;66178146.66;570;11.6;3.22;1.2;67.6;0.84;1715;274;1.33;67.5;66.7;33.3;60.4;Alta;10
PR;Paraná;Sul;26532;11444380;17.7;36733094.24;302;11.59;3.21;1.14;74.0;0.76;867;152;1.33;67.4;55.6;46.7;59.7;Alta;11
GO;Goiás;Centro-Oeste;14635;7056495;17.8;20496975.41;159;10.37;2.9;1.09;76.4;0.66;467;94;1.33;51.8;66.7;63.3;58.6;Alta;12
MT;Mato Grosso;Centro-Oeste;7986;3658649;17.7;11051514.77;78;10.91;3.02;0.98;76.4;0.69;253;49;1.34;58.7;55.6;58.3;57.7;Alta;13
MS;Mato Grosso do Sul;Centro-Oeste;4868;2757013;17.8;6810912.21;64;8.83;2.47;1.31;97.3;0.44;122;37;1.34;32.2;66.7;100.0;56.1;Alta;14
AL;Alagoas;Nordeste;5984;3127683;17.9;8464739.52;59;9.57;2.71;0.99;63.5;0.74;231;42;1.34;41.7;77.8;50.0;54.2;Alta;15
PI;Piauí;Nordeste;6835;3271199;17.5;9170721.36;73;10.45;2.8;1.07;94.5;0.53;173;44;1.35;52.9;33.3;85.0;53.4;Alta;16
PE;Pernambuco;Nordeste;19726;9058931;17.8;27494586.22;226;10.89;3.04;1.15;57.1;0.93;839;121;1.34;58.5;66.7;18.3;52.9;Alta;17
AP;Amapá;Norte;2076;733759;17.2;2797221.35;28;14.15;3.81;1.35;64.4;1.04;76;10;1.36;100.0;0.0;0.0;50.0;Moderada;18
SC;Santa Catarina;Sul;14835;7610361;17.8;20648678.3;149;9.75;2.71;1.0;56.6;0.84;639;101;1.33;43.9;66.7;33.3;48.6;Moderada;19
RR;Roraima;Norte;1590;636707;17.4;2167194.71;14;12.49;3.4;0.88;60.3;0.99;63;9;1.41;78.9;22.2;8.3;47.8;Moderada;20
AM;Amazonas;Norte;7652;3941613;17.7;10669056.35;93;9.71;2.71;1.22;56.5;0.83;329;52;1.32;43.4;55.6;35.0;45.4;Moderada;21
RO;Rondônia;Norte;1993;1581196;18.1;2776470.3;13;6.3;1.76;0.65;54.3;0.58;91;21;1.33;0.0;100.0;76.7;45.3;Moderada;22
DF;Distrito Federal;Centro-Oeste;4847;2817381;17.6;6636786.79;59;8.6;2.36;1.22;71.3;0.58;164;37;1.31;29.3;44.4;76.7;43.3;Moderada;23
RJ;Rio de Janeiro;Sudeste;29228;16055174;17.7;40272916.79;300;9.1;2.51;1.03;53.7;0.82;1321;214;1.33;35.7;55.6;36.7;41.8;Moderada;24
RS;Rio Grande do Sul;Sul;19737;10882965;17.6;27311255.53;224;9.07;2.51;1.13;56.9;0.77;834;145;1.33;35.3;44.4;45.0;40.0;Moderada;25
ES;Espírito Santo;Sudeste;5837;3833712;17.7;8074170.8;68;7.61;2.11;1.16;45.8;0.81;309;51;1.33;16.7;55.6;38.3;32.7;Moderada;26
SE;Sergipe;Nordeste;2812;2210004;17.5;3887075.53;40;6.36;1.76;1.42;40.1;0.76;168;29;1.31;0.8;33.3;46.7;19.7;Baixa;27
