dt_competencia;competencia;qt_internacoes;permanencia_media;custo_total;obitos;media_movel_3m;variacao_mensal_pct
2023-01-01;202301;8227;17.9;11465171.51;91;8227.0;
2023-02-01;202302;8693;18.1;12197391.69;99;8460.0;5.66
2023-03-01;202303;9476;17.7;13051830.43;101;8798.7;9.01
2023-04-01;202304;9853;17.5;13504892.41;105;9340.7;3.98
2023-05-01;202305;10581;17.8;14732115.43;129;9970.0;7.39
2023-06-01;202306;10467;17.8;14406677.66;116;10300.3;-1.08
2023-07-01;202307;10331;17.6;14290200.99;116;10459.7;-1.3
2023-08-01;202308;10088;17.6;13991018.89;94;10295.3;-2.35
2023-09-01;202309;9503;17.7;13188124.15;102;9974.0;-5.8
2023-10-01;202310;9191;17.9;12955725.82;108;9594.0;-3.28
2023-11-01;202311;8829;17.5;12164534.91;102;9174.3;-3.94
2023-12-01;202312;8443;17.6;11603443.01;106;8821.0;-4.37
2024-01-01;202401;8903;17.8;12404477.22;75;8725.0;5.45
2024-02-01;202402;9357;17.8;12985926.41;96;8901.0;5.1
2024-03-01;202403;9970;17.4;13264684.77;116;9410.0;6.55
2024-04-01;202404;10504;17.6;14502051.55;113;9943.7;5.36
2024-05-01;202405;10735;17.5;14532362.61;121;10403.0;2.2
2024-06-01;202406;11362;17.8;15755114.29;114;10867.0;5.84
2024-07-01;202407;11142;17.5;15281058.06;106;11079.7;-1.94
2024-08-01;202408;10566;17.9;14693827.66;129;11023.3;-5.17
2024-09-01;202409;10240;17.8;14369227.77;119;10649.3;-3.09
2024-10-01;202410;9862;17.6;13475365.26;119;10222.7;-3.69
2024-11-01;202411;9408;17.4;12915653.73;106;9836.7;-4.6
2024-12-01;202412;9072;17.5;12397599.9;82;9447.3;-3.57
