sg_uf;nm_uf;regiao;qt_internacoes;populacao;permanencia_media;custo_total;obitos;internacoes_por_10k_ano;custo_per_capita;taxa_mortalidade_pct
AP;Amapá;Norte;2076;733759;17.2;2797221.35;28;14.15;3.81;1.35
AC;Acre;Norte;2151;830018;17.9;3047464.05;27;12.96;3.67;1.26
PB;Paraíba;Nordeste;10001;3974687;17.6;13752476.73;124;12.58;3.46;1.24
RR;Roraima;Norte;1590;636707;17.4;2167194.71;14;12.49;3.4;0.88
RN;Rio Grande do Norte;Nordeste;8164;3302406;17.8;11352909.15;103;12.36;3.44;1.26
TO;Tocantins;Norte;3674;1511460;17.7;4968454.23;41;12.15;3.29;1.12
PA;Pará;Norte;19630;8120131;17.8;27322519.9;226;12.09;3.36;1.15
MA;Maranhão;Nordeste;16143;6775805;17.8;22523642.29;187;11.91;3.32;1.16
BA;Bahia;Nordeste;32853;14141626;17.7;45537321.43;362;11.62;3.22;1.1
MG;Minas Gerais;Sudeste;47640;20538718;17.8;66178146.66;570;11.6;3.22;1.2
PR;Paraná;Sul;26532;11444380;17.7;36733094.24;302;11.59;3.21;1.14
SP;São Paulo;Sudeste;102172;44411238;17.8;142129910.62;1150;11.5;3.2;1.13
MT;Mato Grosso;Centro-Oeste;7986;3658649;17.7;11051514.77;78;10.91;3.02;0.98
PE;Pernambuco;Nordeste;19726;9058931;17.8;27494586.22;226;10.89;3.04;1.15
CE;Ceará;Nordeste;18580;8794957;17.9;26319815.83;203;10.56;2.99;1.09
PI;Piauí;Nordeste;6835;3271199;17.5;9170721.36;73;10.45;2.8;1.07
GO;Goiás;Centro-Oeste;14635;7056495;17.8;20496975.41;159;10.37;2.9;1.09
SC;Santa Catarina;Sul;14835;7610361;17.8;20648678.3;149;9.75;2.71;1.0
AM;Amazonas;Norte;7652;3941613;17.7;10669056.35;93;9.71;2.71;1.22
AL;Alagoas;Nordeste;5984;3127683;17.9;8464739.52;59;9.57;2.71;0.99
RJ;Rio de Janeiro;Sudeste;29228;16055174;17.7;40272916.79;300;9.1;2.51;1.03
RS;Rio Grande do Sul;Sul;19737;10882965;17.6;27311255.53;224;9.07;2.51;1.13
MS;Mato Grosso do Sul;Centro-Oeste;4868;2757013;17.8;6810912.21;64;8.83;2.47;1.31
DF;Distrito Federal;Centro-Oeste;4847;2817381;17.6;6636786.79;59;8.6;2.36;1.22
ES;Espírito Santo;Sudeste;5837;3833712;17.7;8074170.8;68;7.61;2.11;1.16
SE;Sergipe;Nordeste;2812;2210004;17.5;3887075.53;40;6.36;1.76;1.42
RO;Rondônia;Norte;1993;1581196;18.1;2776470.3;13;6.3;1.76;0.65
