co_uf;sg_uf;nm_uf;regiao;populacao_2022
11;RO;Rondônia;Norte;1581196
12;AC;Acre;Norte;830018
13;AM;Amazonas;Norte;3941613
14;RR;Roraima;Norte;636707
15;PA;Pará;Norte;8120131
16;AP;Amapá;Norte;733759
17;TO;Tocantins;Norte;1511460
21;MA;Maranhão;Nordeste;6775805
22;PI;Piauí;Nordeste;3271199
23;CE;Ceará;Nordeste;8794957
24;RN;Rio Grande do Norte;Nordeste;3302406
25;PB;Paraíba;Nordeste;3974687
26;PE;Pernambuco;Nordeste;9058931
27;AL;Alagoas;Nordeste;3127683
28;SE;Sergipe;Nordeste;2210004
29;BA;Bahia;Nordeste;14141626
31;MG;Minas Gerais;Sudeste;20538718
32;ES;Espírito Santo;Sudeste;3833712
33;RJ;Rio de Janeiro;Sudeste;16055174
35;SP;São Paulo;Sudeste;44411238
41;PR;Paraná;Sul;11444380
42;SC;Santa Catarina;Sul;7610361
43;RS;Rio Grande do Sul;Sul;10882965
50;MS;Mato Grosso do Sul;Centro-Oeste;2757013
51;MT;Mato Grosso;Centro-Oeste;3658649
52;GO;Goiás;Centro-Oeste;7056495
53;DF;Distrito Federal;Centro-Oeste;2817381
